ID;conversationId;senderId;content;timestamp;deliveryStatus
a2000001-0000-0000-0000-000000000001;a1000001-0000-0000-0000-000000000001;33333333-3333-3333-3333-333333333333;Bonjour, la Renault Clio V est-elle toujours disponible ?;2026-02-22T14:00:00Z;read
a2000001-0000-0000-0000-000000000002;a1000001-0000-0000-0000-000000000001;11111111-1111-1111-1111-111111111111;Bonjour Sophie ! Oui, elle est toujours disponible. Souhaitez-vous organiser un essai ?;2026-02-22T14:30:00Z;read
a2000001-0000-0000-0000-000000000003;a1000001-0000-0000-0000-000000000001;33333333-3333-3333-3333-333333333333;Oui, ce serait super. Est-ce que le prix est negociable ? J'ai un budget de 17000 EUR.;2026-02-22T15:00:00Z;read
a2000001-0000-0000-0000-000000000004;a1000001-0000-0000-0000-000000000001;11111111-1111-1111-1111-111111111111;Je peux descendre a 17500 EUR. Le vehicule a ete entretenu chez Renault avec toutes les factures.;2026-02-22T16:00:00Z;read
a2000001-0000-0000-0000-000000000005;a1000001-0000-0000-0000-000000000001;33333333-3333-3333-3333-333333333333;D'accord, quand est-ce que je pourrais venir la voir ?;2026-02-22T16:30:00Z;delivered
a2000001-0000-0000-0000-000000000006;a1000001-0000-0000-0000-000000000002;33333333-3333-3333-3333-333333333333;Bonjour, j'ai vu votre Peugeot 308 GT. Le controle technique est-il a jour ?;2026-02-20T10:00:00Z;read
a2000001-0000-0000-0000-000000000007;a1000001-0000-0000-0000-000000000002;11111111-1111-1111-1111-111111111111;Oui, le CT a ete fait en janvier 2026. Aucun defaut signale. Je peux vous envoyer le rapport.;2026-02-20T11:30:00Z;read
a2000001-0000-0000-0000-000000000008;a1000001-0000-0000-0000-000000000002;33333333-3333-3333-3333-333333333333;Parfait, merci ! Et la garantie constructeur est encore valide ?;2026-02-20T13:00:00Z;read
a2000001-0000-0000-0000-000000000009;a1000001-0000-0000-0000-000000000002;11111111-1111-1111-1111-111111111111;Oui, garantie Peugeot jusqu'en janvier 2027. C'est une vraie affaire a ce prix.;2026-02-20T14:15:00Z;read
a2000001-0000-0000-0000-000000000010;a1000001-0000-0000-0000-000000000003;33333333-3333-3333-3333-333333333333;Bonjour, la Golf 8 a-t-elle un carnet d'entretien complet ?;2026-02-24T09:00:00Z;read
a2000001-0000-0000-0000-000000000011;a1000001-0000-0000-0000-000000000003;22222222-2222-2222-2222-222222222222;Bonjour ! Oui, entretien complet chez VW. Vidange, filtres, freins tout est a jour.;2026-02-24T10:00:00Z;read
a2000001-0000-0000-0000-000000000012;a1000001-0000-0000-0000-000000000003;33333333-3333-3333-3333-333333333333;Tres bien. Accepteriez-vous 23000 EUR ?;2026-02-24T10:30:00Z;read
a2000001-0000-0000-0000-000000000013;a1000001-0000-0000-0000-000000000003;22222222-2222-2222-2222-222222222222;Je peux faire un effort a 23500 EUR. C'est mon dernier prix.;2026-02-24T11:00:00Z;read
a2000001-0000-0000-0000-000000000014;a1000001-0000-0000-0000-000000000003;33333333-3333-3333-3333-333333333333;Je vais y reflechir. Merci pour votre reponse rapide !;2026-02-24T11:45:00Z;sent
